scenario,experiment,Global_CCS_Cost,Colombia_Bldg_ShellApplianceEff,Colombia_Population,Colombia_Nuclear,Colombia_GDP,Global_RenewableElecTechCost,Colombia_RPS,Global_EV_Bus,Colombia_IndustrialEff
DDP_XL,0,w/ CCS,Low,Low,Normal,Low,Low,Low,Low,Low
DDP_XL,1,w/ CCS,Low,Low,Normal,Low,Low,Low,Low,High
DDP_XL,2,w/ CCS,Low,Low,Normal,Low,Low,Low,High,Low
DDP_XL,3,w/ CCS,Low,Low,Normal,Low,Low,Low,High,High
DDP_XL,4,w/ CCS,Low,Low,Normal,Low,Low,High,Low,Low
DDP_XL,5,w/ CCS,Low,Low,Normal,Low,Low,High,Low,High
DDP_XL,6,w/ CCS,Low,Low,Normal,Low,Low,High,High,Low
DDP_XL,7,w/ CCS,Low,Low,Normal,Low,Low,High,High,High
DDP_XL,8,w/ CCS,Low,Low,Normal,Low,High,Low,Low,Low
DDP_XL,9,w/ CCS,Low,Low,Normal,Low,High,Low,Low,High
DDP_XL,10,w/ CCS,Low,Low,Normal,Low,High,Low,High,Low
DDP_XL,11,w/ CCS,Low,Low,Normal,Low,High,Low,High,High
DDP_XL,12,w/ CCS,Low,Low,Normal,Low,High,High,Low,Low
DDP_XL,13,w/ CCS,Low,Low,Normal,Low,High,High,Low,High
DDP_XL,14,w/ CCS,Low,Low,Normal,Low,High,High,High,Low
DDP_XL,15,w/ CCS,Low,Low,Normal,Low,High,High,High,High
DDP_XL,16,w/ CCS,Low,Low,Normal,High,Low,Low,Low,Low
DDP_XL,17,w/ CCS,Low,Low,Normal,High,Low,Low,Low,High
DDP_XL,18,w/ CCS,Low,Low,Normal,High,Low,Low,High,Low
DDP_XL,19,w/ CCS,Low,Low,Normal,High,Low,Low,High,High
DDP_XL,20,w/ CCS,Low,Low,Normal,High,Low,High,Low,Low
DDP_XL,21,w/ CCS,Low,Low,Normal,High,Low,High,Low,High
DDP_XL,22,w/ CCS,Low,Low,Normal,High,Low,High,High,Low
DDP_XL,23,w/ CCS,Low,Low,Normal,High,Low,High,High,High
DDP_XL,24,w/ CCS,Low,Low,Normal,High,High,Low,Low,Low
DDP_XL,25,w/ CCS,Low,Low,Normal,High,High,Low,Low,High
DDP_XL,26,w/ CCS,Low,Low,Normal,High,High,Low,High,Low
DDP_XL,27,w/ CCS,Low,Low,Normal,High,High,Low,High,High
DDP_XL,28,w/ CCS,Low,Low,Normal,High,High,High,Low,Low
DDP_XL,29,w/ CCS,Low,Low,Normal,High,High,High,Low,High
DDP_XL,30,w/ CCS,Low,Low,Normal,High,High,High,High,Low
DDP_XL,31,w/ CCS,Low,Low,Normal,High,High,High,High,High
DDP_XL,32,w/ CCS,Low,Low,Zero,Low,Low,Low,Low,Low
DDP_XL,33,w/ CCS,Low,Low,Zero,Low,Low,Low,Low,High
DDP_XL,34,w/ CCS,Low,Low,Zero,Low,Low,Low,High,Low
DDP_XL,35,w/ CCS,Low,Low,Zero,Low,Low,Low,High,High
DDP_XL,36,w/ CCS,Low,Low,Zero,Low,Low,High,Low,Low
DDP_XL,37,w/ CCS,Low,Low,Zero,Low,Low,High,Low,High
DDP_XL,38,w/ CCS,Low,Low,Zero,Low,Low,High,High,Low
DDP_XL,39,w/ CCS,Low,Low,Zero,Low,Low,High,High,High
DDP_XL,40,w/ CCS,Low,Low,Zero,Low,High,Low,Low,Low
DDP_XL,41,w/ CCS,Low,Low,Zero,Low,High,Low,Low,High
DDP_XL,42,w/ CCS,Low,Low,Zero,Low,High,Low,High,Low
DDP_XL,43,w/ CCS,Low,Low,Zero,Low,High,Low,High,High
DDP_XL,44,w/ CCS,Low,Low,Zero,Low,High,High,Low,Low
DDP_XL,45,w/ CCS,Low,Low,Zero,Low,High,High,Low,High
DDP_XL,46,w/ CCS,Low,Low,Zero,Low,High,High,High,Low
DDP_XL,47,w/ CCS,Low,Low,Zero,Low,High,High,High,High
DDP_XL,48,w/ CCS,Low,Low,Zero,High,Low,Low,Low,Low
DDP_XL,49,w/ CCS,Low,Low,Zero,High,Low,Low,Low,High
DDP_XL,50,w/ CCS,Low,Low,Zero,High,Low,Low,High,Low
DDP_XL,51,w/ CCS,Low,Low,Zero,High,Low,Low,High,High
DDP_XL,52,w/ CCS,Low,Low,Zero,High,Low,High,Low,Low
DDP_XL,53,w/ CCS,Low,Low,Zero,High,Low,High,Low,High
DDP_XL,54,w/ CCS,Low,Low,Zero,High,Low,High,High,Low
DDP_XL,55,w/ CCS,Low,Low,Zero,High,Low,High,High,High
DDP_XL,56,w/ CCS,Low,Low,Zero,High,High,Low,Low,Low
DDP_XL,57,w/ CCS,Low,Low,Zero,High,High,Low,Low,High
DDP_XL,58,w/ CCS,Low,Low,Zero,High,High,Low,High,Low
DDP_XL,59,w/ CCS,Low,Low,Zero,High,High,Low,High,High
DDP_XL,60,w/ CCS,Low,Low,Zero,High,High,High,Low,Low
DDP_XL,61,w/ CCS,Low,Low,Zero,High,High,High,Low,High
DDP_XL,62,w/ CCS,Low,Low,Zero,High,High,High,High,Low
DDP_XL,63,w/ CCS,Low,Low,Zero,High,High,High,High,High
DDP_XL,64,w/ CCS,Low,High,Normal,Low,Low,Low,Low,Low
DDP_XL,65,w/ CCS,Low,High,Normal,Low,Low,Low,Low,High
DDP_XL,66,w/ CCS,Low,High,Normal,Low,Low,Low,High,Low
DDP_XL,67,w/ CCS,Low,High,Normal,Low,Low,Low,High,High
DDP_XL,68,w/ CCS,Low,High,Normal,Low,Low,High,Low,Low
DDP_XL,69,w/ CCS,Low,High,Normal,Low,Low,High,Low,High
DDP_XL,70,w/ CCS,Low,High,Normal,Low,Low,High,High,Low
DDP_XL,71,w/ CCS,Low,High,Normal,Low,Low,High,High,High
DDP_XL,72,w/ CCS,Low,High,Normal,Low,High,Low,Low,Low
DDP_XL,73,w/ CCS,Low,High,Normal,Low,High,Low,Low,High
DDP_XL,74,w/ CCS,Low,High,Normal,Low,High,Low,High,Low
DDP_XL,75,w/ CCS,Low,High,Normal,Low,High,Low,High,High
DDP_XL,76,w/ CCS,Low,High,Normal,Low,High,High,Low,Low
DDP_XL,77,w/ CCS,Low,High,Normal,Low,High,High,Low,High
DDP_XL,78,w/ CCS,Low,High,Normal,Low,High,High,High,Low
DDP_XL,79,w/ CCS,Low,High,Normal,Low,High,High,High,High
DDP_XL,80,w/ CCS,Low,High,Normal,High,Low,Low,Low,Low
DDP_XL,81,w/ CCS,Low,High,Normal,High,Low,Low,Low,High
DDP_XL,82,w/ CCS,Low,High,Normal,High,Low,Low,High,Low
DDP_XL,83,w/ CCS,Low,High,Normal,High,Low,Low,High,High
DDP_XL,84,w/ CCS,Low,High,Normal,High,Low,High,Low,Low
DDP_XL,85,w/ CCS,Low,High,Normal,High,Low,High,Low,High
DDP_XL,86,w/ CCS,Low,High,Normal,High,Low,High,High,Low
DDP_XL,87,w/ CCS,Low,High,Normal,High,Low,High,High,High
DDP_XL,88,w/ CCS,Low,High,Normal,High,High,Low,Low,Low
DDP_XL,89,w/ CCS,Low,High,Normal,High,High,Low,Low,High
DDP_XL,90,w/ CCS,Low,High,Normal,High,High,Low,High,Low
DDP_XL,91,w/ CCS,Low,High,Normal,High,High,Low,High,High
DDP_XL,92,w/ CCS,Low,High,Normal,High,High,High,Low,Low
DDP_XL,93,w/ CCS,Low,High,Normal,High,High,High,Low,High
DDP_XL,94,w/ CCS,Low,High,Normal,High,High,High,High,Low
DDP_XL,95,w/ CCS,Low,High,Normal,High,High,High,High,High
DDP_XL,96,w/ CCS,Low,High,Zero,Low,Low,Low,Low,Low
DDP_XL,97,w/ CCS,Low,High,Zero,Low,Low,Low,Low,High
DDP_XL,98,w/ CCS,Low,High,Zero,Low,Low,Low,High,Low
DDP_XL,99,w/ CCS,Low,High,Zero,Low,Low,Low,High,High
DDP_XL,100,w/ CCS,Low,High,Zero,Low,Low,High,Low,Low
DDP_XL,101,w/ CCS,Low,High,Zero,Low,Low,High,Low,High
DDP_XL,102,w/ CCS,Low,High,Zero,Low,Low,High,High,Low
DDP_XL,103,w/ CCS,Low,High,Zero,Low,Low,High,High,High
DDP_XL,104,w/ CCS,Low,High,Zero,Low,High,Low,Low,Low
DDP_XL,105,w/ CCS,Low,High,Zero,Low,High,Low,Low,High
DDP_XL,106,w/ CCS,Low,High,Zero,Low,High,Low,High,Low
DDP_XL,107,w/ CCS,Low,High,Zero,Low,High,Low,High,High
DDP_XL,108,w/ CCS,Low,High,Zero,Low,High,High,Low,Low
DDP_XL,109,w/ CCS,Low,High,Zero,Low,High,High,Low,High
DDP_XL,110,w/ CCS,Low,High,Zero,Low,High,High,High,Low
DDP_XL,111,w/ CCS,Low,High,Zero,Low,High,High,High,High
DDP_XL,112,w/ CCS,Low,High,Zero,High,Low,Low,Low,Low
DDP_XL,113,w/ CCS,Low,High,Zero,High,Low,Low,Low,High
DDP_XL,114,w/ CCS,Low,High,Zero,High,Low,Low,High,Low
DDP_XL,115,w/ CCS,Low,High,Zero,High,Low,Low,High,High
DDP_XL,116,w/ CCS,Low,High,Zero,High,Low,High,Low,Low
DDP_XL,117,w/ CCS,Low,High,Zero,High,Low,High,Low,High
DDP_XL,118,w/ CCS,Low,High,Zero,High,Low,High,High,Low
DDP_XL,119,w/ CCS,Low,High,Zero,High,Low,High,High,High
DDP_XL,120,w/ CCS,Low,High,Zero,High,High,Low,Low,Low
DDP_XL,121,w/ CCS,Low,High,Zero,High,High,Low,Low,High
DDP_XL,122,w/ CCS,Low,High,Zero,High,High,Low,High,Low
DDP_XL,123,w/ CCS,Low,High,Zero,High,High,Low,High,High
DDP_XL,124,w/ CCS,Low,High,Zero,High,High,High,Low,Low
DDP_XL,125,w/ CCS,Low,High,Zero,High,High,High,Low,High
DDP_XL,126,w/ CCS,Low,High,Zero,High,High,High,High,Low
DDP_XL,127,w/ CCS,Low,High,Zero,High,High,High,High,High
DDP_XL,128,w/ CCS,High,Low,Normal,Low,Low,Low,Low,Low
DDP_XL,129,w/ CCS,High,Low,Normal,Low,Low,Low,Low,High
DDP_XL,130,w/ CCS,High,Low,Normal,Low,Low,Low,High,Low
DDP_XL,131,w/ CCS,High,Low,Normal,Low,Low,Low,High,High
DDP_XL,132,w/ CCS,High,Low,Normal,Low,Low,High,Low,Low
DDP_XL,133,w/ CCS,High,Low,Normal,Low,Low,High,Low,High
DDP_XL,134,w/ CCS,High,Low,Normal,Low,Low,High,High,Low
DDP_XL,135,w/ CCS,High,Low,Normal,Low,Low,High,High,High
DDP_XL,136,w/ CCS,High,Low,Normal,Low,High,Low,Low,Low
DDP_XL,137,w/ CCS,High,Low,Normal,Low,High,Low,Low,High
DDP_XL,138,w/ CCS,High,Low,Normal,Low,High,Low,High,Low
DDP_XL,139,w/ CCS,High,Low,Normal,Low,High,Low,High,High
DDP_XL,140,w/ CCS,High,Low,Normal,Low,High,High,Low,Low
DDP_XL,141,w/ CCS,High,Low,Normal,Low,High,High,Low,High
DDP_XL,142,w/ CCS,High,Low,Normal,Low,High,High,High,Low
DDP_XL,143,w/ CCS,High,Low,Normal,Low,High,High,High,High
DDP_XL,144,w/ CCS,High,Low,Normal,High,Low,Low,Low,Low
DDP_XL,145,w/ CCS,High,Low,Normal,High,Low,Low,Low,High
DDP_XL,146,w/ CCS,High,Low,Normal,High,Low,Low,High,Low
DDP_XL,147,w/ CCS,High,Low,Normal,High,Low,Low,High,High
DDP_XL,148,w/ CCS,High,Low,Normal,High,Low,High,Low,Low
DDP_XL,149,w/ CCS,High,Low,Normal,High,Low,High,Low,High
DDP_XL,150,w/ CCS,High,Low,Normal,High,Low,High,High,Low
DDP_XL,151,w/ CCS,High,Low,Normal,High,Low,High,High,High
DDP_XL,152,w/ CCS,High,Low,Normal,High,High,Low,Low,Low
DDP_XL,153,w/ CCS,High,Low,Normal,High,High,Low,Low,High
DDP_XL,154,w/ CCS,High,Low,Normal,High,High,Low,High,Low
DDP_XL,155,w/ CCS,High,Low,Normal,High,High,Low,High,High
DDP_XL,156,w/ CCS,High,Low,Normal,High,High,High,Low,Low
DDP_XL,157,w/ CCS,High,Low,Normal,High,High,High,Low,High
DDP_XL,158,w/ CCS,High,Low,Normal,High,High,High,High,Low
DDP_XL,159,w/ CCS,High,Low,Normal,High,High,High,High,High
DDP_XL,160,w/ CCS,High,Low,Zero,Low,Low,Low,Low,Low
DDP_XL,161,w/ CCS,High,Low,Zero,Low,Low,Low,Low,High
DDP_XL,162,w/ CCS,High,Low,Zero,Low,Low,Low,High,Low
DDP_XL,163,w/ CCS,High,Low,Zero,Low,Low,Low,High,High
DDP_XL,164,w/ CCS,High,Low,Zero,Low,Low,High,Low,Low
DDP_XL,165,w/ CCS,High,Low,Zero,Low,Low,High,Low,High
DDP_XL,166,w/ CCS,High,Low,Zero,Low,Low,High,High,Low
DDP_XL,167,w/ CCS,High,Low,Zero,Low,Low,High,High,High
DDP_XL,168,w/ CCS,High,Low,Zero,Low,High,Low,Low,Low
DDP_XL,169,w/ CCS,High,Low,Zero,Low,High,Low,Low,High
DDP_XL,170,w/ CCS,High,Low,Zero,Low,High,Low,High,Low
DDP_XL,171,w/ CCS,High,Low,Zero,Low,High,Low,High,High
DDP_XL,172,w/ CCS,High,Low,Zero,Low,High,High,Low,Low
DDP_XL,173,w/ CCS,High,Low,Zero,Low,High,High,Low,High
DDP_XL,174,w/ CCS,High,Low,Zero,Low,High,High,High,Low
DDP_XL,175,w/ CCS,High,Low,Zero,Low,High,High,High,High
DDP_XL,176,w/ CCS,High,Low,Zero,High,Low,Low,Low,Low
DDP_XL,177,w/ CCS,High,Low,Zero,High,Low,Low,Low,High
DDP_XL,178,w/ CCS,High,Low,Zero,High,Low,Low,High,Low
DDP_XL,179,w/ CCS,High,Low,Zero,High,Low,Low,High,High
DDP_XL,180,w/ CCS,High,Low,Zero,High,Low,High,Low,Low
DDP_XL,181,w/ CCS,High,Low,Zero,High,Low,High,Low,High
DDP_XL,182,w/ CCS,High,Low,Zero,High,Low,High,High,Low
DDP_XL,183,w/ CCS,High,Low,Zero,High,Low,High,High,High
DDP_XL,184,w/ CCS,High,Low,Zero,High,High,Low,Low,Low
DDP_XL,185,w/ CCS,High,Low,Zero,High,High,Low,Low,High
DDP_XL,186,w/ CCS,High,Low,Zero,High,High,Low,High,Low
DDP_XL,187,w/ CCS,High,Low,Zero,High,High,Low,High,High
DDP_XL,188,w/ CCS,High,Low,Zero,High,High,High,Low,Low
DDP_XL,189,w/ CCS,High,Low,Zero,High,High,High,Low,High
DDP_XL,190,w/ CCS,High,Low,Zero,High,High,High,High,Low
DDP_XL,191,w/ CCS,High,Low,Zero,High,High,High,High,High
DDP_XL,192,w/ CCS,High,High,Normal,Low,Low,Low,Low,Low
DDP_XL,193,w/ CCS,High,High,Normal,Low,Low,Low,Low,High
DDP_XL,194,w/ CCS,High,High,Normal,Low,Low,Low,High,Low
DDP_XL,195,w/ CCS,High,High,Normal,Low,Low,Low,High,High
DDP_XL,196,w/ CCS,High,High,Normal,Low,Low,High,Low,Low
DDP_XL,197,w/ CCS,High,High,Normal,Low,Low,High,Low,High
DDP_XL,198,w/ CCS,High,High,Normal,Low,Low,High,High,Low
DDP_XL,199,w/ CCS,High,High,Normal,Low,Low,High,High,High
DDP_XL,200,w/ CCS,High,High,Normal,Low,High,Low,Low,Low
DDP_XL,201,w/ CCS,High,High,Normal,Low,High,Low,Low,High
DDP_XL,202,w/ CCS,High,High,Normal,Low,High,Low,High,Low
DDP_XL,203,w/ CCS,High,High,Normal,Low,High,Low,High,High
DDP_XL,204,w/ CCS,High,High,Normal,Low,High,High,Low,Low
DDP_XL,205,w/ CCS,High,High,Normal,Low,High,High,Low,High
DDP_XL,206,w/ CCS,High,High,Normal,Low,High,High,High,Low
DDP_XL,207,w/ CCS,High,High,Normal,Low,High,High,High,High
DDP_XL,208,w/ CCS,High,High,Normal,High,Low,Low,Low,Low
DDP_XL,209,w/ CCS,High,High,Normal,High,Low,Low,Low,High
DDP_XL,210,w/ CCS,High,High,Normal,High,Low,Low,High,Low
DDP_XL,211,w/ CCS,High,High,Normal,High,Low,Low,High,High
DDP_XL,212,w/ CCS,High,High,Normal,High,Low,High,Low,Low
DDP_XL,213,w/ CCS,High,High,Normal,High,Low,High,Low,High
DDP_XL,214,w/ CCS,High,High,Normal,High,Low,High,High,Low
DDP_XL,215,w/ CCS,High,High,Normal,High,Low,High,High,High
DDP_XL,216,w/ CCS,High,High,Normal,High,High,Low,Low,Low
DDP_XL,217,w/ CCS,High,High,Normal,High,High,Low,Low,High
DDP_XL,218,w/ CCS,High,High,Normal,High,High,Low,High,Low
DDP_XL,219,w/ CCS,High,High,Normal,High,High,Low,High,High
DDP_XL,220,w/ CCS,High,High,Normal,High,High,High,Low,Low
DDP_XL,221,w/ CCS,High,High,Normal,High,High,High,Low,High
DDP_XL,222,w/ CCS,High,High,Normal,High,High,High,High,Low
DDP_XL,223,w/ CCS,High,High,Normal,High,High,High,High,High
DDP_XL,224,w/ CCS,High,High,Zero,Low,Low,Low,Low,Low
DDP_XL,225,w/ CCS,High,High,Zero,Low,Low,Low,Low,High
DDP_XL,226,w/ CCS,High,High,Zero,Low,Low,Low,High,Low
DDP_XL,227,w/ CCS,High,High,Zero,Low,Low,Low,High,High
DDP_XL,228,w/ CCS,High,High,Zero,Low,Low,High,Low,Low
DDP_XL,229,w/ CCS,High,High,Zero,Low,Low,High,Low,High
DDP_XL,230,w/ CCS,High,High,Zero,Low,Low,High,High,Low
DDP_XL,231,w/ CCS,High,High,Zero,Low,Low,High,High,High
DDP_XL,232,w/ CCS,High,High,Zero,Low,High,Low,Low,Low
DDP_XL,233,w/ CCS,High,High,Zero,Low,High,Low,Low,High
DDP_XL,234,w/ CCS,High,High,Zero,Low,High,Low,High,Low
DDP_XL,235,w/ CCS,High,High,Zero,Low,High,Low,High,High
DDP_XL,236,w/ CCS,High,High,Zero,Low,High,High,Low,Low
DDP_XL,237,w/ CCS,High,High,Zero,Low,High,High,Low,High
DDP_XL,238,w/ CCS,High,High,Zero,Low,High,High,High,Low
DDP_XL,239,w/ CCS,High,High,Zero,Low,High,High,High,High
DDP_XL,240,w/ CCS,High,High,Zero,High,Low,Low,Low,Low
DDP_XL,241,w/ CCS,High,High,Zero,High,Low,Low,Low,High
DDP_XL,242,w/ CCS,High,High,Zero,High,Low,Low,High,Low
DDP_XL,243,w/ CCS,High,High,Zero,High,Low,Low,High,High
DDP_XL,244,w/ CCS,High,High,Zero,High,Low,High,Low,Low
DDP_XL,245,w/ CCS,High,High,Zero,High,Low,High,Low,High
DDP_XL,246,w/ CCS,High,High,Zero,High,Low,High,High,Low
DDP_XL,247,w/ CCS,High,High,Zero,High,Low,High,High,High
DDP_XL,248,w/ CCS,High,High,Zero,High,High,Low,Low,Low
DDP_XL,249,w/ CCS,High,High,Zero,High,High,Low,Low,High
DDP_XL,250,w/ CCS,High,High,Zero,High,High,Low,High,Low
DDP_XL,251,w/ CCS,High,High,Zero,High,High,Low,High,High
DDP_XL,252,w/ CCS,High,High,Zero,High,High,High,Low,Low
DDP_XL,253,w/ CCS,High,High,Zero,High,High,High,Low,High
DDP_XL,254,w/ CCS,High,High,Zero,High,High,High,High,Low
DDP_XL,255,w/ CCS,High,High,Zero,High,High,High,High,High
DDP_XL,256,w/o CCS,Low,Low,Normal,Low,Low,Low,Low,Low
